size,arch,seed,sparsity,std,l1_norm,n_params,kan_ratio
tiny,mlp,42,0.27802079916000366,0.03749685361981392,0.027382757514715195,3538944,
tiny,mlp,1337,0.27768877148628235,0.03744197264313698,0.02736806496977806,3538944,
tiny,mlp,2024,0.2800987958908081,0.03738023713231087,0.027290113270282745,3538944,
tiny,mlp_bspline,42,0.2526801824569702,0.05958687886595726,0.030037827789783478,3631104,
tiny,mlp_bspline,1337,0.2517416179180145,0.059587571769952774,0.030091695487499237,3631104,
tiny,mlp_bspline,2024,0.25226321816444397,0.05951063334941864,0.03005109168589115,3631104,
tiny,kan_bspline,42,0.16120214760303497,0.07751733064651489,0.05409157648682594,3548160,5.763792868521015
tiny,kan_bspline,1337,0.16222605109214783,0.07752154767513275,0.053988855332136154,3548160,5.758602822939113
tiny,kan_bspline,2024,0.1603028029203415,0.07802430540323257,0.05443097651004791,3548160,5.68707994053392
tiny,kan_grkan,42,0.29118260741233826,0.028436996042728424,0.02211826853454113,3540864,
tiny,kan_grkan,1337,0.2953270673751831,0.02810008078813553,0.021844347938895226,3540864,
tiny,kan_grkan,2024,0.2863442301750183,0.028935808688402176,0.022516213357448578,3540864,
tiny,kan_mean,42,0.30491551756858826,0.15226051211357117,0.07941669225692749,3548160,6.061437873770291
tiny,kan_mean,1337,0.3037008047103882,0.14935550093650818,0.07777963578701019,3548160,7.922198461673099
tiny,kan_mean,2024,0.3124430775642395,0.14228449761867523,0.07428872585296631,3548160,7.47577095675655
small,mlp,42,0.26412978768348694,0.03220147639513016,0.025040604174137115,14155776,
small,mlp,1337,0.2633189558982849,0.03227941691875458,0.025104448199272156,14155776,
small,mlp,2024,0.26210078597068787,0.032397639006376266,0.025203373283147812,14155776,
small,mlp_bspline,42,0.274181991815567,0.05633339658379555,0.026207204908132553,14340096,
small,mlp_bspline,1337,0.26791927218437195,0.055785100907087326,0.02665698155760765,14340096,
small,mlp_bspline,2024,0.27112552523612976,0.05584799125790596,0.026428548619151115,14340096,
small,kan_bspline,42,0.18144650757312775,0.0606524795293808,0.04361305758357048,14192640,9.172888048612032
small,kan_bspline,1337,0.17916828393936157,0.061193060129880905,0.04405513033270836,14192640,9.167765766370453
small,kan_bspline,2024,0.17713427543640137,0.061803482472896576,0.044596776366233826,14192640,8.670534813775
small,kan_grkan,42,0.28468990325927734,0.028012288734316826,0.02215225249528885,14157696,
small,kan_grkan,1337,0.26675674319267273,0.029947981238365173,0.023701343685388565,14157696,
small,kan_grkan,2024,0.2671739161014557,0.02988603711128235,0.02366110123693943,14157696,
small,kan_mean,42,0.6799295544624329,0.03536345809698105,0.01675213873386383,14192640,1387.405182670108
small,kan_mean,1337,0.6885481476783752,0.036706648766994476,0.01710926927626133,14192640,1777.2858957111266
small,kan_mean,2024,0.6915262341499329,0.03929826617240906,0.017429931089282036,14192640,2169.477565036477
base,mlp,42,0.30129897594451904,0.02676040306687355,0.021104516461491585,56623104,
base,mlp,1337,0.30174124240875244,0.026745257899165154,0.02108452469110489,56623104,
base,mlp,2024,0.29805368185043335,0.02714529260993004,0.02138853818178177,56623104,
base,mlp_bspline,42,0.30136406421661377,0.043297477066516876,0.022570505738258362,56991744,
base,mlp_bspline,1337,0.30010831356048584,0.04336652159690857,0.02265746332705021,56991744,
base,mlp_bspline,2024,0.3004574179649353,0.043357234448194504,0.022646082565188408,56991744,
base,kan_bspline,42,0.2594220042228699,0.041341960430145264,0.02989431656897068,56586240,17.557437237076243
base,kan_bspline,1337,0.25167444348335266,0.04244215786457062,0.03078094683587551,56586240,17.10966757239004
base,kan_bspline,2024,0.25337696075439453,0.042190633714199066,0.030566712841391563,56586240,16.450466669895786
base,kan_grkan,42,0.30850425362586975,0.02552838623523712,0.020265426486730576,56625024,
base,kan_grkan,1337,0.31353285908699036,0.0250875074416399,0.019913576543331146,56625024,
base,kan_grkan,2024,0.30801525712013245,0.025563091039657593,0.020294714719057083,56625024,
base,kan_mean,42,0.6699729561805725,0.0162692591547966,0.009944566525518894,56586240,176.90843455979112
base,kan_mean,1337,0.665667712688446,0.015815220773220062,0.00993882305920124,56586240,174.7110921179326
base,kan_mean,2024,0.6655080318450928,0.016034837812185287,0.009967862628400326,56586240,174.77204643846426
